"Time","Strain Gauge 1","Strain Gauge 2","Temperature (C)","Acceleration (m/s^2)"
0.46,48.0,0.44,25.0,14.2
1.46,48.97,0.24,16.0,8.35
2.46,49.07,0.24,9.0,4.91
3.46,48.09,0.39,4.0,2.89
4.46,49.02,0.0,1.0,1.7
5.46,48.24,0.1,0.0,1.0
6.47,47.9,0.44,1.0,1.7
7.47,48.97,0.29,4.0,2.89
8.47,48.04,0.2,9.0,4.91
9.47,32.16,0.15,16.0,8.35
10.47,24.98,0.05,25.0,14.2
11.47,19.99,0.54,36.0,24.14
12.47,16.96,0.34,49.0,41.03
13.47,15.15,0.39,36.0,24.14
14.48,8.94,0.2,25.0,14.2
15.48,6.99,0.0,16.0,8.35
16.48,7.38,0.29,9.0,4.91
17.48,7.09,3.23,4.0,2.89
18.48,7.14,17.64,1.0,1.7
19.48,7.38,25.56,0.0,1.0
20.48,7.72,31.87,1.0,1.7
21.5,7.48,35.29,4.0,2.89
22.5,7.72,35.0,9.0,4.91
23.5,7.33,35.73,16.0,8.35
24.5,7.72,35.19,25.0,14.2
25.5,7.43,35.73,36.0,24.14
26.51,7.62,35.14,49.0,41.03
27.51,7.28,35.43,36.0,24.14
28.51,7.92,35.09,25.0,14.2
